hour1	counta	levelaccess1	order1
10	54	noaccess	1
10	5	within400800m	2
10	13	within400m	3
11	108	noaccess	1
11	16	within400800m	2
11	11	within400m	3
12	284	noaccess	1
12	33	within400800m	2
12	16	within400m	3
13	235	noaccess	1
13	31	within400800m	2
13	17	within400m	3
14	209	noaccess	1
14	37	within400800m	2
14	20	within400m	3
15	80	noaccess	1
15	15	within400800m	2
15	6	within400m	3
16	29	noaccess	1
16	11	within400800m	2
16	2	within400m	3
17	40	noaccess	1
17	9	within400800m	2
17	4	within400m	3
18	33	noaccess	1
18	4	within400800m	2
18	7	within400m	3
19	38	noaccess	1
19	5	within400800m	2
19	4	within400m	3
20	35	noaccess	1
20	5	within400800m	2
20	3	within400m	3
21	31	noaccess	1
21	3	within400800m	2
21	3	within400m	3
22	31	noaccess	1
22	6	within400800m	2
22	3	within400m	3
23	13	noaccess	1
23	3	within400800m	2
23	1	within400m	3
06	18	noaccess	1
06	2	within400m	3
07	25	noaccess	1
07	5	within400800m	2
07	3	within400m	3
08	39	noaccess	1
08	7	within400800m	2
08	6	within400m	3
09	53	noaccess	1
09	11	within400800m	2
09	4	within400m	3